This is the updated measurement:
goos: linux
goarch: amd64
pkg: gonum.org/v1/gonum/mathext
cpu: AMD Ryzen 9 5900X 12-Core Processor
BenchmarkLi2Heatmap/grid/re[88:99]_im[77:88]       	   10000	      5357 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[77:88]      	    8716	      6907 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[77:88]     	    7932	      7507 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[77:88]     	    7795	      7620 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[77:88]     	    7928	      7308 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[77:88]     	    8282	      7292 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[77:88]     	   12452	      4824 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[88:99]        	    6686	      8961 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[88:99]       	    6601	      8949 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[88:99]       	    6531	      8924 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[88:99]       	    6927	      8625 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[88:99]       	   10000	      5817 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[88:99]       	   10000	      5782 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[88:99]       	   10000	      5785 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[88:99]       	   10000	      5787 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[88:99]       	   10000	      5793 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[88:99]      	    7698	      7809 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[88:99]     	    7287	      8227 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[88:99]     	    7280	      8253 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[88:99]     	    7465	      8041 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[88:99]     	    7797	      7684 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[88:99]     	   10000	      5233 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[99:110]       	    6650	      8937 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[99:110]      	    6709	      8915 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[99:110]      	    6684	      8935 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[99:110]      	    6595	      9043 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[99:110]      	    8250	      7319 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[99:110]      	   10000	      5788 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[99:110]      	   10000	      5780 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[99:110]      	   10000	      5777 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[99:110]      	   10000	      5794 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[99:110]     	    7522	      7877 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[99:110]    	    7206	      8106 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[99:110]    	    7292	      8146 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[99:110]    	    7323	      8173 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[99:110]    	    7059	      8361 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[99:110]    	   10000	      5664 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[110:121]      	    6699	      8918 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[110:121]     	    6654	      8940 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[110:121]     	    6504	      9118 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[110:121]     	    6422	      9227 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[110:121]     	    6448	      9294 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[110:121]     	    7789	      7722 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[66:77]_im[110:121]     	    9441	      6356 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[77:88]_im[110:121]     	    9849	      6071 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[88:99]_im[110:121]     	    8908	      6661 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[99:110]_im[110:121]    	    7094	      8448 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[110:121]_im[110:121]   	    7310	      8211 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[121:132]_im[110:121]   	    7197	      8252 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[132:143]_im[110:121]   	    6950	      8581 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[143:154]_im[110:121]   	    6752	      8832 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[154:161]_im[110:121]   	   10000	      5655 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[0:11]_im[121:132]      	    6633	      8997 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[11:22]_im[121:132]     	    6483	      9267 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[22:33]_im[121:132]     	    6415	      9271 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[33:44]_im[121:132]     	    6378	      9298 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[44:55]_im[121:132]     	    6460	      9273 ns/op	       0 B/op	       0 allocs/op
BenchmarkLi2Heatmap/grid/re[55:66]_im[121:132]     	    6408	      9344 ns/op	       0 B/op	       0 allocs/op
